loss,epoch,step
0.932664155960083,0,9
0.8116442561149597,0,19
0.7668684720993042,0,29
0.6481377482414246,0,39
0.9164922833442688,0,49
0.739568829536438,0,59
0.5119113326072693,0,69
0.5825415849685669,0,79
0.5782327055931091,0,89
0.6071918606758118,0,99
0.5331953763961792,0,109
0.6351766586303711,0,119
0.5566785335540771,0,129
0.30220407247543335,0,139
0.46676379442214966,0,149
0.6329678297042847,0,159
0.5173503756523132,0,169
0.6443923115730286,0,179
0.3681831359863281,0,189
